"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.testciviquefrance.fr/articles/renouvellement-titre-sejour-2026-anef-prefecture-documents-delais","8434","22","0.26%","7.197170950912971"
"https://www.testciviquefrance.fr/articles/echanger-permis-conduire-etranger-france-2026-ants-demarches","5070","26","0.51%","6.603571124260355"
"https://www.testciviquefrance.fr/articles/reconnaissance-diplomes-etrangers-france-2026-enic-naric-equivalences","4139","58","1.4000000000000001%","4.734480889103649"
"https://www.testciviquefrance.fr/articles/guide-anef-complet-2026-creer-compte-deposer-demande","2940","22","0.75%","6.876880170068027"
"https://www.testciviquefrance.fr/articles/regroupement-familial-france-2026-guide-complet-conditions-documents-delais","2768","50","1.81%","6.092496820809248"
"https://www.testciviquefrance.fr/articles/naturalisation-francaise-2026-delais-conditions-pieges-dossier-complet","2746","49","1.78%","6.428637909686819"
"https://www.testciviquefrance.fr/articles/declaration-impots-etrangers-france-2026-guide-pratique-formulaires-dates-remboursement","2267","85","3.75%","6.035726951918836"
"https://www.testciviquefrance.fr/articles/passeport-talent-france-2026-guide-complet-10-categories-famille-naturalisation","1972","79","4.01%","3.9731246450304263"
"https://www.testciviquefrance.fr/articles/etudiant-etranger-france-2026-visa-campus-france-travail-famille-droit-rester","1821","12","0.66%","6.779230258099945"
"https://www.testciviquefrance.fr/articles/hausse-frais-titre-sejour-2026-nouveaux-tarifs-timbres-fiscaux","1261","74","5.87%","5.344955273592387"
"https://www.testciviquefrance.fr/articles/test-civique-gratuit-en-ligne-2026-examen-blanc-entrainement-qcm","1093","32","2.93%","7.321140164684355"
"https://www.testciviquefrance.fr/articles/aides-sociales-etrangers-france-2026-caf-rsa-apl-prime-activite","1090","26","2.39%","6.0009060550458715"
"https://www.testciviquefrance.fr/articles/centres-agrees-examen-civique-2026","1010","43","4.26%","5.637621386138614"
"https://www.testciviquefrance.fr/articles/carte-de-sejour-france-2026-guide-complet-types-demarches-renouvellement","991","20","2.02%","6.240146720484359"
"https://www.testciviquefrance.fr/articles/carte-resident-10-ans-france-2026-conditions-obtention-refus-prefecture","908","32","3.52%","4.994471145374449"
"https://www.testciviquefrance.fr/articles/demande-asile-france-2026-ofpra-cnda-procedure-delais","781","8","1.02%","5.971838796414852"
"https://www.testciviquefrance.fr/articles/recepisse-titre-de-sejour-droits-duree-voyage","739","23","3.11%","5.113656562922869"
"https://www.testciviquefrance.fr/articles/changement-statut-etudiant-salarie-2026-demarches-anef","686","20","2.92%","5.841116472303207"
"https://www.testciviquefrance.fr/articles/attestation-accueil-inviter-famille-france-2026-mairie-conditions","630","5","0.79%","6.5238353968253975"
"https://www.testciviquefrance.fr/articles/visa-long-sejour-vls-ts-validation-ofii-2026","613","12","1.96%","6.362156117455139"
"https://www.testciviquefrance.fr/articles/niveau-de-langue-francais-nationalite-titre-sejour-a2-b1-2026","601","15","2.5%","6.424300665557404"
"https://www.testciviquefrance.fr/articles/cra-retention-etrangers-7-jours-7-mois-2026-droits-recours-expulsion","506","5","0.99%","4.735176679841897"
"https://www.testciviquefrance.fr/articles/hausse-taxes-titres-sejour-mai-2026-nouveaux-tarifs-prefecture-loi-finances","445","21","4.72%","5.301125842696629"
"https://www.testciviquefrance.fr/articles/carte-sejour-pluriannuelle-guide-complet-2025","423","7","1.6500000000000001%","5.988174940898347"
"https://www.testciviquefrance.fr/articles/inscription-test-civique-2026-ou-quand-comment-sinscrire","410","16","3.9%","6.573161219512194"
"https://www.testciviquefrance.fr/articles/oqtf-2026-droits-recours-expulsion-aide-juridictionnelle-test-civique","403","4","0.99%","6.228289081885856"
"https://www.testciviquefrance.fr/articles/nationalite-francaise-par-mariage-2026-conditions-delai-4-ans-dossier","373","3","0.8%","6.1742849865951746"
"https://www.testciviquefrance.fr/articles/delf-tcf-dilf-certification-francais-2026-titre-sejour-naturalisation-laquelle-choisir","347","16","4.61%","6.403461671469739"
"https://www.testciviquefrance.fr/articles/titre-sejour-perdu-vole-expire-2026-demarches-urgence","284","9","3.17%","5.450701056338027"
"https://www.testciviquefrance.fr/articles/niveau-francais-a2-b1-b2-2026-titre-sejour-naturalisation","274","6","2.19%","5.602197080291972"
"https://www.testciviquefrance.fr/articles/droits-devoirs-citoyens-france-guide","270","6","2.22%","5.933334814814814"
"https://www.testciviquefrance.fr/articles/voyager-titre-sejour-francais-2026-pays-sans-visa-schengen","262","7","2.67%","5.41222824427481"
"https://www.testciviquefrance.fr/articles/entretien-naturalisation-2026-preparation-assimilation-prefecture","262","8","3.0500000000000003%","6.7061"
"https://www.testciviquefrance.fr/articles/avoir-enfant-france-etranger-2026-droit-sol-nationalite-allocations","229","5","2.18%","6.7030689956331875"
"https://www.testciviquefrance.fr/articles/titre-sejour-etranger-malade-raisons-sante-2026","212","6","2.83%","5.018869811320755"
"https://www.testciviquefrance.fr/articles/medecin-traitant-secu-sociale-etranger-france-2026-ameli-carte-vitale","207","2","0.97%","7.135256521739129"
"https://www.testciviquefrance.fr/articles/retraite-etranger-france-2026-droits-aspa-pension-retour-pays","179","11","6.15%","5.586594413407822"
"https://www.testciviquefrance.fr/articles/envoyer-argent-pays-etranger-france-fisc-seuil-declaration-2026","158","5","3.16%","5.208872151898735"
"https://www.testciviquefrance.fr/articles/passeport-talent-2026-conditions-metiers-demarches","154","1","0.65%","6.9870019480519465"
"https://www.testciviquefrance.fr/articles/geographie-france-regions-departements-villes","146","5","3.42%","5.753399315068493"
"https://www.testciviquefrance.fr/articles/ouvrir-compte-bancaire-france-etranger-2026-banques-neo-banques-droit-compte","137","0","0%","5.54741094890511"
"https://www.testciviquefrance.fr/articles/930000-dossiers-bloques-prefecture-2026-droits-recours-etrangers-france","113","6","5.3100000000000005%","5.690266371681417"
"https://www.testciviquefrance.fr/articles/auto-entrepreneur-etranger-france-2026-creer-entreprise-titre-sejour","108","1","0.93%","5.796299074074073"
"https://www.testciviquefrance.fr/articles/scolariser-enfants-etranger-france-2026-inscription-ecole-droits","101","4","3.96%","6.079212871287129"
"https://www.testciviquefrance.fr/articles/chomage-perte-emploi-etranger-france-2026-are-france-travail-droits","98","2","2.04%","6.928584693877551"
"https://www.testciviquefrance.fr/articles/tout-savoir-examen-civique-2026","97","0","0%","7.690711340206186"
"https://www.testciviquefrance.fr/articles/valeurs-republique-francaise-liberte-egalite-fraternite","95","1","1.05%","7.578942105263158"
"https://www.testciviquefrance.fr/articles/prix-test-civique-2026-cout-tarif-titre-sejour-prefecture","94","4","4.26%","3.9787095744680854"
"https://www.testciviquefrance.fr/articles/travailler-sans-papiers-france-2026-risques-regularisation","88","4","4.55%","5.681819318181818"
"https://www.testciviquefrance.fr/articles/premiers-resultats-test-civique-2026-taux-reussite-retours-experience","87","9","10.34%","5.804580459770115"
"https://www.testciviquefrance.fr/articles/naturalisation-francaise-refusee-2026-raisons-cachees-contester-recours","83","1","1.2%","6.915655421686748"
"https://www.testciviquefrance.fr/articles/titres-de-sejour-france-guide-complet-2026","79","9","11.39%","5.835417721518987"
"https://www.testciviquefrance.fr/articles/circulaire-avril-2026-naturalisation-maghreb-maroc-algerie-tunisie","75","15","20%","4.453335999999999"
"https://www.testciviquefrance.fr/","71","2","2.82%","7.478897183098592"
"https://www.testciviquefrance.fr/articles/absence-france-voyage-perte-titre-sejour-duree-maximale-2026","67","2","2.99%","6.716413432835822"
"https://www.testciviquefrance.fr/articles/carte-resident-10-ans-obtention-2025","66","1","1.52%","6.515151515151516"
"https://www.testciviquefrance.fr/articles/oqtf-enfants-france-2026-expulsion-enfants-francais-scolarises","63","2","3.17%","6.5396841269841275"
"https://www.testciviquefrance.fr/articles/regularisation-sans-papiers-france-2026-methode-demarches-circulaire-valls","61","4","6.5600000000000005%","5.983632786885246"
"https://www.testciviquefrance.fr/articles/symboles-france-marianne-coq-drapeau-tricolore","60","0","0%","6.250023333333332"
"https://www.testciviquefrance.fr/articles/droits-etrangers-france-2026-ce-que-vous-ne-saviez-pas","55","0","0%","7.072745454545454"
"https://www.testciviquefrance.fr/articles/prime-retour-volontaire-france-2026-conditions-demarches","53","0","0%","4.981141509433962"
"https://www.testciviquefrance.fr/articles/double-nationalite-france-2026-pays-interdisent-risques-declaration","51","4","7.84%","3.8039647058823527"
"https://www.testciviquefrance.fr/articles/espagne-regularisation-500000-sans-papiers-2026-pourquoi-pas-france","44","4","9.09%","4.454561363636364"
"https://www.testciviquefrance.fr/articles/dossier-naturalisation-2026-documents-delais-prefecture-anef","43","1","2.33%","6.558148837209303"
"https://www.testciviquefrance.fr/articles/naturalisation-francaise-conditions-demarches-2025","36","1","2.7800000000000002%","6.777777777777778"
"https://www.testciviquefrance.fr/articles/circulaire-avril-2026-delais-naturalisation-reduits-12-mois-maghreb","34","8","23.53%","5.264694117647059"
"https://www.testciviquefrance.fr/articles/cout-regularisation-situation-france-2026-budget-complet","30","0","0%","6.466653333333334"
"https://www.testciviquefrance.fr/articles/mariage-etranger-france-2026-papiers-visa-conjoint-titre-sejour","28","1","3.5700000000000003%","3.8571392857142857"
"https://www.testciviquefrance.fr/articles/contrat-engagement-republicain-2026-obligations-formation-civique","26","2","7.69%","7.3077000000000005"
"https://www.testciviquefrance.fr/articles/contrat-integration-republicaine-cir-2026-formation-civique","25","0","0%","6.6"
"https://www.testciviquefrance.fr/articles/controle-police-etranger-france-droits-2026","14","1","7.140000000000001%","6"
"https://www.testciviquefrance.fr/articles/attentat-dejoue-paris-2026-securite-nationale-vigipirate-test-civique","14","1","7.140000000000001%","7.1429"
"https://www.testciviquefrance.fr/articles/double-nationalite-franco-marocaine-2026-test-civique-demarches","13","2","15.38%","4.0769"
"https://www.testciviquefrance.fr/articles/divorce-separation-titre-sejour-2026-droits-renouvellement-etranger","11","2","18.18%","7.4546"
"https://www.testciviquefrance.fr/articles/droit-de-vote-elections-france-2026-guide-citoyen","11","0","0%","6.6364"
"https://www.testciviquefrance.fr/articles/cadre-general-examen-civique","5","0","0%","7.4"
"https://www.testciviquefrance.fr/articles/refus-titre-sejour-oqtf-recours-2026-guide-etrangers-france","4","0","0%","2"
"https://www.testciviquefrance.fr/articles/penurie-carburant-prix-essence-2026-economie-francaise-test-civique","3","1","33.33%","7"
"https://www.testciviquefrance.fr/articles/institutions-francaises-president-assemblee-senat","2","2","100%","4.5"
